#metadataBlock	name	dataverseAlias	displayName													
	QualitativeData		Qualitative Data and Quantitative Questionnaires													
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	subjectType	Subject Type	Indicates the type of subject, human or animal.		text	0		FALSE	TRUE	TRUE	FALSE	FALSE	FALSE		QualitativeData	
	numberOfSubjects	 Number of Subjects	The amount of subjects.		int	1		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		QualitativeData	
	subjectHealthCondition	Subject Health Condition	The health condition of the subject.		text	2		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		QualitativeData	
	laboratoryData	Laboratory Data	Indicates if the data is from a laboratory.		text	3		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		QualitativeData	
	questionnaireName	Questionnaire Name	The name of the questionnaire.		text	4		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		QualitativeData	
	questionnaireVersion	Questionnaire Version Number	The version number of the questionnaire.		text	5	 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		QualitativeData		
	nameVideoInterview	Protocol Name Video Interview	Protocol Name Video Interview.		text	6	 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		QualitativeData	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	subjectType	Human	S1	0												
	subjectType	Animal	S2	1												
	laboratoryData	Yes	L1	0												
	laboratoryData	No	L2	1												
